Round 196 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 197 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 198 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 199 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 200 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 1 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 2 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 3 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 4 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 5 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 6 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 7 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 8 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 9 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 10 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 11 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 12 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 13 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 14 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 15 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 16 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 17 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 18 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 19 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 20 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 21 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 22 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 23 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 24 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 25 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 26 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 27 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 28 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 29 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 30 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 31 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 32 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 33 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 34 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 35 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 36 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 37 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 38 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 39 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 40 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 41 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 42 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 43 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 44 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 45 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 46 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 47 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 48 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 49 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 50 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 51 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 52 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 53 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 54 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 55 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 56 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 57 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 58 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 59 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 60 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 61 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 62 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 63 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 64 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 65 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 66 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 67 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 68 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 69 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 70 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 71 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 72 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 73 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 74 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 75 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 76 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 77 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 78 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 79 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 80 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 81 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 82 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 83 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 84 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 85 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 86 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 87 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
